Year,Location,Avg Min Temp *C,Yr Rain mm,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Irrigation,Crop Type,Crop Damage,Yield,Observer
1980,South Janethaven,20.100000000000005,800.8696199999999,N,N,Y,N,Y,Canola,Y,913.34,Jeremy Mann
1980,Jesushaven,22.9,684.10074,N,N,Y,N,Y,Canola,Y,1022.55,Joel Brown
1980,Lake Eric,21.000000000000007,1153.61974,N,N,N,N,N,Oats,N,1196.8,Connor Griffith
1981,South Janethaven,20.0,835.1316799999998,N,N,Y,N,Y,Canola,Y,906.17,Jennifer Adams
1981,Jesushaven,23.400000000000002,639.4196,N,N,Y,N,Y,Wheat,Y,1735.82,Joel Brown
1981,Lake Eric,20.799999999999997,1230.5411,N,N,N,N,N,Wheat,N,1497.96,Elizabeth Smith
1982,South Janethaven,20.2,856.0892200000001,N,N,Y,N,Y,Canola,Y,917.47,Tina Lowe
1982,Jesushaven,23.199999999999996,636.92024,N,N,Y,N,Y,Oats,Y,1431.4,Joel Brown
1982,Lake Eric,21.2,1306.85032,N,N,N,N,N,Oats,N,1195.77,Robert Jones
1983,South Janethaven,20.2,1021.0215799999999,N,N,Y,N,Y,Canola,Y,915.49,Zachary Martinez
1983,Jesushaven,22.9,664.6697399999999,N,N,Y,N,Y,Oats,Y,1421.54,Daniel Orr
1983,Lake Eric,21.4,1207.46012,N,N,N,N,N,Oats,N,1193.72,Robert Jones
1984,South Janethaven,20.100000000000005,755.58142,N,N,Y,N,Y,Wheat,Y,1611.36,Zachary Martinez
1984,Jesushaven,22.7,720.5802199999999,N,N,Y,N,Y,Wheat,Y,1716.79,Heather Sims
1984,Lake Eric,21.4,1256.8808999999999,N,N,N,N,N,Canola,N,794.13,Robert Jones
1985,Jesushaven,23.199999999999996,720.8012,N,N,Y,N,Y,Wheat,Y,1732.13,Amber Young
1985,Lake Eric,21.5,1419.41042,N,N,N,N,N,Wheat,N,1493.45,Daniel Summers
1985,South Janethaven,20.2,964.4913399999999,N,N,Y,N,Y,Wheat,Y,1616.42,Zachary Martinez
1986,Lake Eric,21.2,1278.1102199999998,N,N,N,N,N,Wheat,N,1495.61,Daniel Summers
1986,South Janethaven,20.4,915.1416800000001,N,N,Y,N,Y,Oats,Y,1324.48,Joshua Garner
1986,Jesushaven,23.299999999999997,654.97964,N,N,Y,N,Y,Wheat,Y,1734.79,Holly Kline DDS
1987,Lake Eric,21.3,1482.06,N,N,N,N,N,Canola,N,794.66,Daniel Summers
1987,South Janethaven,20.3,946.64,N,N,Y,N,Y,Oats,Y,1323.2,James Johnson
1987,Jesushaven,23.0,686.09,N,N,Y,N,Y,Canola,Y,1023.71,James Moreno
1988,Lake Eric,21.1,1346.78,N,N,N,N,N,Oats,N,1196.33,Matthew Chen
1988,South Janethaven,20.3,1017.0,N,N,Y,N,Y,Wheat,Y,1623.93,James Johnson
1988,Jesushaven,23.6,807.9,N,N,N,N,Y,Oats,N,1442.87,Veronica Ayala
1989,Lake Eric,21.4,1183.95,N,N,N,N,N,Oats,N,1194.01,Matthew Chen
1989,South Janethaven,20.8,938.16,N,N,N,N,Y,Wheat,N,1642.56,James Johnson
1989,Jesushaven,23.5,826.31,N,N,N,N,Y,Canola,N,1038.43,Veronica Ayala
1990,Lake Eric,21.7,1435.25,N,N,N,N,N,Oats,N,1191.48,Matthew Chen
1990,Jesushaven,23.4,799.03,N,N,N,N,Y,Canola,N,1035.61,Andrea Young
1990,South Janethaven,20.7,1063.17,N,N,N,N,Y,Canola,N,940.42,Olivia Jones
1991,Jesushaven,23.9,790.66,N,N,N,N,Y,Wheat,N,1749.49,Andrea Young
1991,Lake Eric,21.4,1395.8,N,N,N,N,N,Wheat,N,1493.72,Jason Williams
1991,South Janethaven,20.7,1032.08,N,N,N,N,Y,Canola,N,940.28,Robert Gregory
1992,Jesushaven,23.3,748.65,N,N,Y,N,Y,Canola,Y,1034.09,Andrea Young
