Year,Location,Avg Min Temp *F,Yr Rain inches,Heat Wave,Dry Spell,Cold Wave,Wet Spell
1980,South Janethaven,68.18,31.5303,N,N,Y,N
1980,Jesushaven,73.22,26.9331,N,N,Y,N
1980,Lake Eric,69.80000000000001,45.4181,N,N,N,N
1981,South Janethaven,68.0,32.8792,N,N,Y,N
1981,Jesushaven,74.12,25.174,N,N,y,N
1981,Lake Eric,69.44,48.4465,0,N,N,N
1982,South Janethaven,68.36,33.7043,N,N,Y,N
1982,Jesushaven,73.75999999999999,25.0756,N,N,Y,N
1982,Lake Eric,70.16,51.4508,N,N,N,N
1983,South Janethaven,68.36,40.1977,N,N,Y,N
1983,Jesushaven,73.22,26.1681,N,N,Y,N
1983,Lake Eric,70.52,47.5378,N,N,N,N
1984,South Janethaven,68.18,29.7473,N,N,Y,N
1984,Jesushaven,72.86,28.3693,N,N,1,N
1984,Lake Eric,70.52,49.4835,N,N,N,N
1985,Jesushaven,73.75999999999999,28.378,N,N,Y,N
1985,Lake Eric,70.7,55.8823,N,N,N,N
1985,South Janethaven,68.36,37.9721,N,N,Y,N
1986,Lake Eric,70.16,50.3193,N,N,N,N
1986,South Janethaven,68.72,36.0292,N,N,Y,N
1986,Jesushaven,73.94,25.7866,N,N,Y,N
